pickup_month,trip_count,elapsed_hours,observed_trips_per_hour,standardized_trips_per_hour,observed_rank,standardized_rank
1,2867575.0000000000,744,3854.2674731183,3871.7020264117,11,11
2,2899445.0000000000,696,4165.8692528736,4142.0748804645,9,9
3,3437610.0000000000,743,4626.6621803499,4623.7512674400,8,8
4,3411742.0000000000,720,4738.5305555556,4769.3576958106,6,7
5,3613931.0000000000,744,4857.4341397849,4818.6661145264,3,4
6,3425722.0000000000,720,4757.9472222222,4775.3774704007,5,5
7,2971627.0000000000,744,3994.1223118280,3976.0463342441,10,10
8,2865066.0000000000,744,3850.8951612903,3837.0288991348,12,12
9,3481619.0000000000,720,4835.5819444444,4873.5215846995,4,2
10,3679571.0000000000,744,4945.6599462366,4926.8609346539,1,1
11,3507621.0000000000,721,4864.9389736477,4837.5491119632,2,3
12,3516349.0000000000,744,4726.2755376344,4769.8497267760,7,6
