pickup_month,pickup_dayofweek,trip_count,elapsed_hours,trips_per_hour,reference_weekday_weight
1,0,392931.0000000000,120,3274.4250000000,0.1448087432
1,1,448811.0000000000,120,3740.0916666667,0.1448087432
1,2,480486.0000000000,120,4004.0500000000,0.1420765027
1,3,415950.0000000000,96,4332.8125000000,0.1420765027
1,4,396100.0000000000,96,4126.0416666667,0.1420765027
1,5,406861.0000000000,96,4238.1354166667,0.1420765027
1,6,326436.0000000000,96,3400.3750000000,0.1420765027
2,0,332056.0000000000,96,3458.9166666667,0.1448087432
2,1,373123.0000000000,96,3886.6979166667,0.1448087432
2,2,426549.0000000000,96,4443.2187500000,0.1420765027
2,3,571190.0000000000,120,4759.9166666667,0.1420765027
2,4,409937.0000000000,96,4270.1770833333,0.1420765027
2,5,428422.0000000000,96,4462.7291666667,0.1420765027
2,6,358168.0000000000,96,3730.9166666667,0.1420765027
3,0,367692.0000000000,96,3830.1250000000,0.1448087432
3,1,432603.0000000000,96,4506.2812500000,0.1448087432
3,2,473830.0000000000,96,4935.7291666667,0.1420765027
3,3,503428.0000000000,96,5244.0416666667,0.1420765027
3,4,579085.0000000000,120,4825.7083333333,0.1420765027
3,5,598386.0000000000,120,4986.5500000000,0.1420765027
3,6,482586.0000000000,119,4055.3445378151,0.1420765027
4,0,465292.0000000000,120,3877.4333333333,0.1448087432
4,1,559128.0000000000,120,4659.4000000000,0.1448087432
4,2,482843.0000000000,96,5029.6145833333,0.1420765027
4,3,522073.0000000000,96,5438.2604166667,0.1420765027
4,4,476299.0000000000,96,4961.4479166667,0.1420765027
4,5,497182.0000000000,96,5178.9791666667,0.1420765027
4,6,408925.0000000000,96,4259.6354166667,0.1420765027
5,0,381752.0000000000,96,3976.5833333333,0.1448087432
5,1,464435.0000000000,96,4837.8645833333,0.1448087432
5,2,622500.0000000000,120,5187.5000000000,0.1420765027
5,3,641268.0000000000,120,5343.9000000000,0.1420765027
5,4,607573.0000000000,120,5063.1083333333,0.1420765027
5,5,477570.0000000000,96,4974.6875000000,0.1420765027
5,6,418833.0000000000,96,4362.8437500000,0.1420765027
6,0,412269.0000000000,96,4294.4687500000,0.1448087432
6,1,478201.0000000000,96,4981.2604166667,0.1448087432
6,2,478194.0000000000,96,4981.1875000000,0.1420765027
6,3,506284.0000000000,96,5273.7916666667,0.1420765027
6,4,469971.0000000000,96,4895.5312500000,0.1420765027
6,5,585685.0000000000,120,4880.7083333333,0.1420765027
6,6,495118.0000000000,120,4125.9833333333,0.1420765027
7,0,445312.0000000000,120,3710.9333333333,0.1448087432
7,1,520908.0000000000,120,4340.9000000000,0.1448087432
7,2,533320.0000000000,120,4444.3333333333,0.1420765027
7,3,399866.0000000000,96,4165.2708333333,0.1420765027
7,4,366571.0000000000,96,3818.4479166667,0.1420765027
7,5,365096.0000000000,96,3803.0833333333,0.1420765027
7,6,340554.0000000000,96,3547.4375000000,0.1420765027
8,0,331932.0000000000,96,3457.6250000000,0.1448087432
8,1,384405.0000000000,96,4004.2187500000,0.1448087432
8,2,394156.0000000000,96,4105.7916666667,0.1420765027
8,3,505233.0000000000,120,4210.2750000000,0.1420765027
8,4,459923.0000000000,120,3832.6916666667,0.1420765027
8,5,465798.0000000000,120,3881.6500000000,0.1420765027
8,6,323619.0000000000,96,3371.0312500000,0.1420765027
9,0,491821.0000000000,120,4098.5083333333,0.1448087432
9,1,449684.0000000000,96,4684.2083333333,0.1448087432
9,2,477111.0000000000,96,4969.9062500000,0.1420765027
9,3,519411.0000000000,96,5410.5312500000,0.1420765027
9,4,491320.0000000000,96,5117.9166666667,0.1420765027
9,5,519932.0000000000,96,5415.9583333333,0.1420765027
9,6,532340.0000000000,120,4436.1666666667,0.1420765027
10,0,405637.0000000000,96,4225.3854166667,0.1448087432
10,1,594524.0000000000,120,4954.3666666667,0.1448087432
10,2,614139.0000000000,120,5117.8250000000,0.1420765027
10,3,628718.0000000000,120,5239.3166666667,0.1420765027
10,4,485596.0000000000,96,5058.2916666667,0.1420765027
10,5,518349.0000000000,96,5399.4687500000,0.1420765027
10,6,432608.0000000000,96,4506.3333333333,0.1420765027
11,0,402965.0000000000,96,4197.5520833333,0.1448087432
11,1,447234.0000000000,96,4658.6875000000,0.1448087432
11,2,471034.0000000000,96,4906.6041666667,0.1420765027
11,3,482643.0000000000,96,5027.5312500000,0.1420765027
11,4,614569.0000000000,120,5121.4083333333,0.1420765027
11,5,638586.0000000000,120,5321.5500000000,0.1420765027
11,6,450590.0000000000,97,4645.2577319588,0.1420765027
12,0,499776.0000000000,120,4164.8000000000,0.1448087432
12,1,542458.0000000000,120,4520.4833333333,0.1448087432
12,2,453546.0000000000,96,4724.4375000000,0.1420765027
12,3,502641.0000000000,96,5235.8437500000,0.1420765027
12,4,507103.0000000000,96,5282.3229166667,0.1420765027
12,5,505896.0000000000,96,5269.7500000000,0.1420765027
12,6,504929.0000000000,120,4207.7416666667,0.1420765027
