source_month,rule,rows_before,rows_removed,rows_after
1,pickup_in_2024,2964624,15,2964609
1,positive_location_ids,2964609,0,2964609
1,distance_0_to_100_miles,2964609,60430,2904179
1,fare_0_to_500_usd,2904179,34554,2869625
1,total_0_to_500_usd,2869625,8,2869617
1,duration_0_to_180_minutes,2869617,2049,2867568
2,pickup_in_2024,3007526,2,3007524
2,positive_location_ids,3007524,0,3007524
2,distance_0_to_100_miles,3007524,68296,2939228
2,fare_0_to_500_usd,2939228,37842,2901386
2,total_0_to_500_usd,2901386,5,2901381
2,duration_0_to_180_minutes,2901381,1946,2899435
3,pickup_in_2024,3582628,2,3582626
3,positive_location_ids,3582626,0,3582626
3,distance_0_to_100_miles,3582626,87290,3495336
3,fare_0_to_500_usd,3495336,55403,3439933
3,total_0_to_500_usd,3439933,11,3439922
3,duration_0_to_180_minutes,3439922,2297,3437625
4,pickup_in_2024,3514289,4,3514285
4,positive_location_ids,3514285,0,3514285
4,distance_0_to_100_miles,3514285,45963,3468322
4,fare_0_to_500_usd,3468322,54278,3414044
4,total_0_to_500_usd,3414044,5,3414039
4,duration_0_to_180_minutes,3414039,2307,3411732
5,pickup_in_2024,3723833,7,3723826
5,positive_location_ids,3723826,0,3723826
5,distance_0_to_100_miles,3723826,49945,3673881
5,fare_0_to_500_usd,3673881,57666,3616215
5,total_0_to_500_usd,3616215,6,3616209
5,duration_0_to_180_minutes,3616209,2292,3613917
6,pickup_in_2024,3539193,6,3539187
6,positive_location_ids,3539187,0,3539187
6,distance_0_to_100_miles,3539187,53123,3486064
6,fare_0_to_500_usd,3486064,58117,3427947
6,total_0_to_500_usd,3427947,13,3427934
6,duration_0_to_180_minutes,3427934,2197,3425737
7,pickup_in_2024,3076903,3,3076900
7,positive_location_ids,3076900,0,3076900
7,distance_0_to_100_miles,3076900,48204,3028696
7,fare_0_to_500_usd,3028696,55020,2973676
7,total_0_to_500_usd,2973676,6,2973670
7,duration_0_to_180_minutes,2973670,2020,2971650
8,pickup_in_2024,2979183,2,2979181
8,positive_location_ids,2979181,0,2979181
8,distance_0_to_100_miles,2979181,57569,2921612
8,fare_0_to_500_usd,2921612,54502,2867110
8,total_0_to_500_usd,2867110,12,2867098
8,duration_0_to_180_minutes,2867098,2042,2865056
9,pickup_in_2024,3633030,3,3633027
9,positive_location_ids,3633027,0,3633027
9,distance_0_to_100_miles,3633027,81288,3551739
9,fare_0_to_500_usd,3551739,68138,3483601
9,total_0_to_500_usd,3483601,16,3483585
9,duration_0_to_180_minutes,3483585,1965,3481620
10,pickup_in_2024,3833771,1,3833770
10,positive_location_ids,3833770,0,3833770
10,distance_0_to_100_miles,3833770,81768,3752002
10,fare_0_to_500_usd,3752002,70353,3681649
10,total_0_to_500_usd,3681649,17,3681632
10,duration_0_to_180_minutes,3681632,2071,3679561
11,pickup_in_2024,3646369,3,3646366
11,positive_location_ids,3646366,0,3646366
11,distance_0_to_100_miles,3646366,68463,3577903
11,fare_0_to_500_usd,3577903,67107,3510796
11,total_0_to_500_usd,3510796,21,3510775
11,duration_0_to_180_minutes,3510775,3160,3507615
12,pickup_in_2024,3668371,8,3668363
12,positive_location_ids,3668363,0,3668363
12,distance_0_to_100_miles,3668363,75579,3592784
12,fare_0_to_500_usd,3592784,73920,3518864
12,total_0_to_500_usd,3518864,40,3518824
12,duration_0_to_180_minutes,3518824,2462,3516362
