scenario,time_filters,fact_filters,trips,recorded_total_usd,period_hours,trips_per_hour,average_total_usd,airport_fee_trips,airport_pickups
All 2024,{},{},39677878,1135817146.18,8784,4517.062613843352,28.625954900612378,3163100,3130315
January,"{""pickup_month"": 1}",{},2867575,78378845.58,744,3854.2674731182797,27.332797077670158,229297,225925
August,"{""pickup_month"": 8}",{},2865066,83672508.22,744,3850.8951612903224,29.204391179819243,273313,270660
Queens,{},"{""pickup_borough_grouped"": ""Queens""}",3644095,266588820.43,8784,414.8559881602914,73.15638599707198,3157611,3129077
Queens August,"{""pickup_month"": 8}","{""pickup_borough_grouped"": ""Queens""}",314917,22817261.38,744,423.2755376344086,72.45484168844487,272855,270527
Positive airport fee,{},"{""airport_trip_share"": 1}",3163100,241694649.8,8784,360.0979052823315,76.41068881793177,3163100,3026711
Airport pickup zones,{},"{""airport_pickup"": 1}",3130315,240962793.91,8784,356.3655510018215,76.97717127828989,3026711,3130315
Newark zone incl zero hours,{},"{""PULocationID"": 1}",1238,116723.44,8784,0.14093806921675775,94.28387722132472,1,1238
Spring transition date,"{""date"": ""2024-03-10""}",{},98121,2772257.86,23,4266.130434782609,28.253461134721412,9968,9822
Autumn transition date,"{""date"": ""2024-11-03""}",{},117134,3293021.61,25,4685.36,28.113285724042544,9399,9257
Hour 01 all year,"{""pickup_hour_num"": 1}",{},737682,19270081.93,367,2010.032697547684,26.122478154543558,44963,45987
Unknown precipitation,"{""precipitation_category"": ""Desconocida""}",{},313245,9320603.94,82,3820.060975609756,29.75499669587703,28150,27941
